,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
365,33,27,32,26,32,36,36,38,37,39,36,34
366,35,36,28,46,38,40,49,41,45,45,55,53
367,0,0,0,0,0,8,28,37,28,34,25,25
368,23,25,11,27,25,20,20,24,17,29,24,24
369,27,24,26,32,27,30,39,35,31,36,35,36
370,33,23,22,42,39,37,45,39,43,49,48,49
371,114,86,76,66,59,61,51,54,69,45,49,38
372,12,17,24,20,20,17,16,21,29,26,25,22
373,29,27,28,31,40,35,41,39,45,35,50,48
374,46,37,43,45,40,36,46,33,30,37,45,57
375,8,7,8,10,9,11,12,13,12,10,8,10
376,15,16,19,37,45,45,49,76,63,76,61,61
377,27,18,19,27,24,27,22,22,23,29,29,33
378,119,105,121,118,124,100,83,94,90,72,66,58
379,30,40,38,34,38,45,42,53,49,61,49,58
380,1,1,1,2,1,1,1,1,1,2,0,1
381,7,7,4,4,7,6,5,6,6,4,8,6
382,8,5,7,6,6,5,3,4,6,5,7,6
383,50,43,41,41,49,38,42,32,51,48,46,41
384,2,3,2,1,3,6,5,12,15,9,9,8
385,3,4,7,9,13,20,28,34,33,33,34,36
386,49,41,35,40,43,33,43,35,42,35,39,38
387,1,1,0,1,0,0,1,1,1,1,1,0
388,0,0,0,0,0,11,32,50,66,67,79,75
389,17,22,30,39,23,28,26,29,27,38,32,31
390,0,22,4,0,1,0,0,0,0,1,1,0
391,45,34,30,30,34,14,24,19,23,32,17,20
392,13,9,11,15,13,22,25,31,43,37,29,42
393,24,29,24,30,40,42,42,46,36,39,28,33
394,23,21,19,23,20,17,25,20,22,24,22,24
395,7,7,13,8,17,27,49,65,79,78,93,84
396,16,17,20,40,35,42,53,47,67,72,56,59
397,8,8,18,18,17,23,22,36,38,43,50,48
398,181,236,222,234,235,264,273,288,292,321,300,317
399,24,23,32,27,42,45,48,64,76,73,81,70
400,14,14,27,20,20,35,31,42,36,43,32,38
401,25,15,15,17,17,19,16,16,20,18,17,17
402,5,6,10,15,10,18,9,11,15,15,12,16
403,9,19,25,46,55,58,49,52,62,58,58,53
404,36,26,30,33,23,20,14,22,26,18,23,19
405,43,41,45,34,32,43,34,48,42,50,45,33
406,61,67,57,63,63,55,74,82,78,82,75,89
407,18,16,16,29,37,42,65,80,91,104,96,94
408,56,44,43,49,61,45,44,59,58,66,57,74
409,38,43,29,26,26,31,30,45,30,49,34,50
410,32,33,36,44,48,34,44,54,57,61,48,69
411,30,25,41,37,50,36,48,39,55,45,43,52
412,27,26,30,39,40,46,56,70,57,61,66,79
413,11,19,12,11,13,14,17,16,19,11,13,12
414,12,21,25,28,27,42,39,52,60,75,72,105
415,25,24,32,29,49,54,50,81,85,88,95,124
416,14,25,14,24,31,27,42,40,61,46,59,59
417,28,36,25,30,30,27,33,24,27,33,27,36
418,9,10,11,11,14,17,18,19,18,19,17,14
419,15,14,15,14,18,16,13,17,11,13,15,11
420,18,11,9,12,12,15,10,15,16,10,17,16
421,17,11,18,25,20,13,22,39,49,32,35,39
422,49,35,41,57,52,64,58,54,56,59,67,62
423,30,27,33,27,38,44,34,39,39,31,39,30
424,15,18,15,28,20,18,20,24,14,26,22,40
425,20,17,8,15,15,18,17,11,15,17,20,12
426,33,22,21,25,18,24,27,30,31,32,33,30
427,16,16,17,15,29,25,28,27,39,30,36,35
428,9,14,19,25,19,22,18,25,32,28,40,38
429,4,6,6,5,3,3,6,7,9,2,4,11
430,11,11,19,13,17,16,19,16,26,19,20,23
431,32,40,27,35,31,29,37,22,30,21,21,20
432,1,5,4,9,15,12,31,45,73,97,102,119
433,31,48,48,51,55,59,63,68,77,79,75,73
434,25,24,21,29,30,34,33,28,39,32,31,29
435,37,44,54,69,45,50,54,58,66,63,83,83
436,37,35,21,29,51,40,35,42,27,38,33,25
437,9,11,17,23,21,34,41,44,40,51,42,33
438,52,53,62,75,66,69,79,87,96,105,92,99
439,33,29,29,36,31,51,47,49,51,53,53,52
440,28,28,35,27,24,26,24,30,30,22,28,23
441,9,9,11,25,22,22,24,37,46,49,70,69
442,10,29,18,19,23,15,14,26,23,21,18,26
443,32,28,24,24,19,28,35,28,26,19,25,25
444,30,31,36,36,36,32,38,34,41,47,37,49
445,39,57,32,57,55,46,55,55,57,69,67,75
446,44,31,38,42,39,56,32,49,45,39,51,52
447,32,30,33,45,46,38,36,45,52,31,24,37
448,21,18,18,26,28,25,29,24,29,30,16,26
449,27,19,28,26,26,26,29,41,29,27,24,30
450,46,67,63,71,87,99,84,97,78,77,82,71
451,47,84,64,62,66,54,76,70,77,62,63,60
452,47,46,40,36,32,33,30,30,29,31,25,17
453,53,66,45,38,53,40,53,43,48,47,34,26
454,2,6,5,3,6,7,9,8,7,10,6,5
455,2,1,2,0,2,4,1,5,3,4,2,2
456,3,4,1,6,2,6,4,5,7,9,6,8
457,22,28,23,29,29,24,31,33,41,43,47,53
458,31,23,23,38,33,33,47,52,44,49,49,49
459,37,28,30,27,34,26,28,37,32,33,42,38
460,22,32,26,28,38,38,47,34,48,44,36,42
461,27,22,22,22,37,42,29,23,35,39,46,31
462,7,10,12,14,16,13,19,19,20,14,25,21
463,10,9,7,6,7,5,7,3,4,0,2,5
464,121,63,112,98,109,138,128,106,124,126,138,130
465,25,20,20,20,22,27,19,20,21,30,28,28
466,2,4,3,1,1,2,2,1,2,1,2,2
467,13,21,13,15,18,13,15,20,16,16,13,9
468,55,57,50,54,53,58,52,70,49,57,55,63
